Tiempo (ms),Trayectoria 5,Trayectoria 6
0,0,0
33,0.0148468017578125,0.0827178955078125
67,0.00069427490234375,0.169586181640625
100,-0.0324249267578125,0.261398315429688
133,-0.0466117858886719,0.35211181640625
166,-0.0237464904785156,0.427490234375
200,0.0136680603027344,0.466094970703125
233,0.0325202941894531,0.446914672851563
266,0.0272598266601563,0.3680419921875
300,0.0150146484375,0.263778686523438
333,-7.62939453125E-06,0.186126708984375
366,-0.027923583984375,0.160751342773438
400,-0.0606155395507813,0.172683715820313
433,-0.0730400085449219,0.188735961914063
466,-0.0605659484863281,0.181121826171875
500,-0.0497322082519531,0.138885498046875
533,-0.0730705261230469,0.0713653564453125
566,-0.146495819091797,0.005523681640625
599,-0.263267517089844,-0.0257110595703125
633,-0.398174285888672,-0.0077056884765625
666,-0.515830993652344,0.03424072265625
699,-0.578609466552734,0.0516815185546875
733,-0.556964874267578,0.01934814453125
766,-0.450138092041016,-0.0459442138671875
799,-0.304573059082031,-0.103897094726563
832,-0.19305419921875,-0.1156005859375
866,-0.161811828613281,-0.0674591064453125
899,-0.203559875488281,0.0123443603515625
932,-0.273433685302734,0.0741424560546875
966,-0.318359375,0.092041015625
999,-0.301666259765625,0.0784912109375
1032,-0.218418121337891,0.0631561279296875
1066,-0.0964088439941406,0.07366943359375
1099,0.0207481384277344,0.130477905273438
1132,0.103435516357422,0.246078491210938
1165,0.154792785644531,0.421401977539063
1199,0.194278717041016,0.63592529296875
1232,0.233840942382813,0.843399047851563
1265,0.282398223876953,0.997207641601563
1299,0.354053497314453,1.088623046875
1332,0.4613037109375,1.15083312988281
1365,0.608108520507813,1.22938537597656
1399,0.785732269287109,1.35333251953125
1432,0.970077514648438,1.51705932617188
1465,1.12948989868164,1.67959594726563
1498,1.24472045898438,1.79718017578125
1532,1.32365417480469,1.86570739746094
1565,1.39592742919922,1.92169189453125
1598,1.49522399902344,2.0001220703125
1632,1.63725662231445,2.09732055664063
1665,1.79856491088867,2.18101501464844
1698,1.92389678955078,2.23158264160156
1732,1.96620941162109,2.25740051269531
1765,1.92056274414063,2.27720642089844
1798,1.8303337097168,2.30448913574219
1832,1.75937652587891,2.34574890136719
1865,1.74533081054688,2.40484619140625
1898,1.78520202636719,2.48722839355469
1931,1.86038589477539,2.60050964355469
1965,1.95787811279297,2.75050354003906
1998,2.06906127929688,2.92976379394531
2031,2.17936706542969,3.10426330566406
2065,2.26721572875977,3.22508239746094
2098,2.31924057006836,3.26502990722656
2131,2.34166717529297,3.23406982421875
2165,2.34949111938477,3.16398620605469
2198,2.36032867431641,3.09208679199219
2231,2.40556716918945,3.05439758300781
2264,2.51781463623047,3.08096313476563
2298,2.69525909423828,3.187744140625
2331,2.89931869506836,3.36235046386719
2364,3.08808135986328,3.5579833984375
2398,3.23740768432617,3.72079467773438
2431,3.34348297119141,3.83277893066406
2464,3.42322158813477,3.92131042480469
