Tiempo (ms),Trayectoria 7,Trayectoria 8
0,0,0
33,0.0417022705078125,0.059722900390625
67,0.0837974548339844,0.122772216796875
100,0.125934600830078,0.191162109375
133,0.168102264404297,0.265167236328125
166,0.211185455322266,0.343780517578125
200,0.255630493164063,0.424163818359375
233,0.300876617431641,0.499481201171875
266,0.345420837402344,0.55572509765625
300,0.383857727050781,0.571090698242188
333,0.400642395019531,0.523300170898438
366,0.365657806396484,0.40869140625
400,0.240524291992188,0.25732421875
433,0.0054779052734375,0.105392456054688
466,-0.313564300537109,-0.0514373779296875
500,-0.666400909423828,-0.24560546875
533,-1.01630401611328,-0.488235473632813
566,-1.32476806640625,-0.754898071289063
599,-1.53890609741211,-0.994476318359375
633,-1.62665176391602,-1.1488037109375
666,-1.58852005004883,-1.18447875976563
699,-1.4351806640625,-1.10345458984375
733,-1.19325256347656,-0.939834594726563
766,-0.930831909179688,-0.766159057617188
799,-0.734287261962891,-0.672683715820313
832,-0.646739959716797,-0.706832885742188
866,-0.652385711669922,-0.83660888671875
899,-0.711330413818359,-0.984146118164063
932,-0.787891387939453,-1.08930969238281
966,-0.859046936035156,-1.13583374023438
999,-0.915187835693359,-1.13577270507813
1032,-0.958393096923828,-1.109130859375
1066,-0.998546600341797,-1.0732421875
1099,-1.04553604125977,-1.0384521484375
1132,-1.09992980957031,-1.007568359375
1165,-1.14635467529297,-0.976882934570313
1199,-1.15217590332031,-0.936752319335938
1232,-1.07708740234375,-0.871673583984375
1265,-0.905376434326172,-0.762786865234375
1299,-0.681343078613281,-0.596542358398438
1332,-0.484783172607422,-0.381301879882813
1365,-0.358024597167969,-0.158309936523438
1399,-0.280063629150391,0.0201263427734375
1432,-0.201091766357422,0.129608154296875
1465,-0.079315185546875,0.18115234375
1498,0.0879936218261719,0.197799682617188
1532,0.239631652832031,0.195938110351563
1565,0.287223815917969,0.18255615234375
1598,0.214351654052734,0.16046142578125
1632,0.119388580322266,0.13409423828125
1665,0.121913909912109,0.111724853515625
1698,0.235855102539063,0.103073120117188
1732,0.375530242919922,0.114959716796875
1765,0.464672088623047,0.148605346679688
1798,0.488006591796875,0.200057983398438
1832,0.463428497314453,0.2630615234375
1865,0.411308288574219,0.333160400390625
1898,0.347000122070313,0.410232543945313
1931,0.284065246582031,0.497665405273438
1965,0.235549926757813,0.59844970703125
