Tiempo (ms),Trayectoria 7,Trayectoria 8
0,0,0
33,0.367465972900391,0.054351806640625
67,0.597759246826172,0.111724853515625
100,0.672439575195313,0.173904418945313
133,0.675746917724609,0.241226196289063
166,0.693119049072266,0.313217163085938
200,0.754203796386719,0.388137817382813
233,0.841793060302734,0.46014404296875
266,0.9146728515625,0.5147705078125
300,0.925262451171875,0.527008056640625
333,0.842960357666016,0.469741821289063
366,0.67523193359375,0.34063720703125
400,0.450576782226563,0.184951782226563
433,0.176456451416016,0.0550537109375
466,-0.158153533935547,-0.060546875
500,-0.537494659423828,-0.219940185546875
533,-0.902629852294922,-0.456649780273438
566,-1.17966842651367,-0.7606201171875
599,-1.319091796875,-1.08413696289063
633,-1.32097244262695,-1.34915161132813
666,-1.22583389282227,-1.48664855957031
699,-1.08005142211914,-1.48808288574219
733,-0.908626556396484,-1.40975952148438
766,-0.710330963134766,-1.31672668457031
799,-0.481468200683594,-1.2393798828125
832,-0.251235961914063,-1.18148803710938
866,-0.074493408203125,-1.13876342773438
899,0.0172195434570313,-1.10548400878906
932,0.0367927551269531,-1.07575988769531
966,0.0186882019042969,-1.04449462890625
999,-0.00701904296875,-1.00904846191406
1032,-0.0251579284667969,-0.970184326171875
1066,-0.0341987609863281,-0.930755615234375
1099,-0.0397720336914063,-0.8927001953125
1132,-0.0483512878417969,-0.854583740234375
1165,-0.0636100769042969,-0.809890747070313
1199,-0.0849189758300781,-0.74517822265625
1232,-0.105960845947266,-0.6395263671875
1265,-0.112979888916016,-0.472427368164063
1299,-0.084564208984375,-0.247055053710938
1332,0.004150390625,-0.01055908203125
1365,0.170463562011719,0.172256469726563
1399,0.403640747070313,0.2735595703125
1432,0.651348114013672,0.3133544921875
1465,0.847171783447266,0.325775146484375
1498,0.960277557373047,0.333465576171875
1532,1.00486373901367,0.3438720703125
1565,1.01126480102539,0.355377197265625
1598,1.004638671875,0.365234375
1632,1.00096130371094,0.375625610351563
1665,1.00660705566406,0.394561767578125
1698,1.01480102539063,0.43011474609375
1732,1.00288772583008,0.481155395507813
1765,0.9400634765625,0.530288696289063
1798,0.813518524169922,0.543426513671875
1832,0.656078338623047,0.482879638671875
1865,0.530677795410156,0.342391967773438
1898,0.479843139648438,0.181594848632813
1931,0.505538940429688,0.102203369140625
1965,0.588088989257813,0.172149658203125
1998,0.702445983886719,0.375396728515625
2031,0.819076538085938,0.618438720703125
2065,0.901779174804688,0.78472900390625
2098,0.915210723876953,0.802841186523438
2131,0.850074768066406,0.669921875
2165,0.7486572265625,0.440765380859375
2198,0.686508178710938,0.217758178710938
2231,0.719009399414063,0.112060546875
2264,0.858200073242188,0.179458618164063
2298,1.08687591552734,0.3909912109375
2331,1.36371994018555,0.6522216796875
2364,1.61947250366211,0.85980224609375
2398,1.78439331054688,0.9642333984375
2431,1.83481597900391,0.980514526367188
2464,1.80221176147461,0.953826904296875
2498,1.74514007568359,0.933609008789063
2531,1.72473907470703,0.966506958007813
2564,1.78959655761719,1.08921813964844
2597,1.95368957519531,1.30679321289063
2631,2.17848587036133,1.574462890625
2664,2.39884948730469,1.82920837402344
2697,2.57794189453125,2.05061340332031
2731,2.72307205200195,2.26933288574219
2764,2.85637283325195,2.5120849609375
2797,2.98719787597656,2.75491333007813
2831,3.10491180419922,2.94467163085938
2864,3.18646240234375,3.05697631835938
2897,3.20977783203125,3.10940551757813
2931,3.16201019287109,3.12948608398438
2964,3.04270172119141,3.13279724121094
2997,2.87656784057617,3.12474060058594
3031,2.72605133056641,3.11026000976563
