seconds_elapsed,z
0.0,-9.81
0.01,-0.6716716121577005
0.02,18.334578661280148
0.03,4.26774904047715
0.04,-14.672878323167787
0.05,-5.58233385876036
0.06,10.922576212449608
0.07,5.668626154366309
0.08,-7.8915680102719765
0.09,-4.989484806756266
0.1,4.94084405706848
0.11,4.799294891227193
0.12,-1.0300516507947381
0.13,-5.845939239364933
0.14,-0.17731016770245783
0.15,4.678214074922
0.16,0.8223307871339964
0.17,-4.368687680878897
0.18,-1.2670596882274423
0.19,3.808726064348166
0.2,1.919202028787871
0.21,-1.6425510346197563
0.22,-1.9343940563164228
0.23,0.37144944054242385
0.24,1.5996854155715667
0.25,-0.06063991373291859
0.26,-1.678339024867455
0.27,-0.6874999701470568
0.28,2.308909168967695
0.29,1.141297722806483
0.3,-2.08713261192102
0.31,-0.5183754561484086
0.32,-0.1262494861535181
0.33,0.3633667245457908
0.34,0.15660533197554882
0.35000000000000003,-0.579676689740339
0.36,-0.7669838655521205
0.37,1.4775892570798008
0.38,1.0142308167961407
0.39,-1.2632062048438928
0.4,-0.35356471843919957
0.41000000000000003,-0.6980258032844749
0.42,0.15599694176376
0.43,0.5766375853032928
0.44,-0.6541328258527516
0.45,-0.6974844033051143
0.46,1.388060149786278
0.47000000000000003,0.7873861597544305
0.48,0.3972358998258377
0.49,-0.8688647361706858
0.5,-0.8945047266997291
0.51,0.5629804811152748
0.52,0.7459125089369673
0.53,-1.3019896867281682
0.54,-0.04665192920603951
0.55,1.4855073196476059
0.56,-0.10870326060904686
0.5700000000000001,0.06992719626791105
0.58,-1.5264177980678884
0.59,-0.33716008810197284
0.6,1.1687313739219782
0.61,-0.17307605649576197
0.62,-1.0486369541778253
0.63,0.939649605182541
0.64,0.8981722290934021
0.65,1.0135634547077734
0.66,-1.3758363637113606
0.67,-1.221242499347357
0.68,0.9247769269821332
0.6900000000000001,0.8502861808829335
0.7000000000000001,-1.172933008277898
0.71,0.34825655123453164
0.72,0.9922068453870748
0.73,1.368787003231147
0.74,-0.9930099205321861
0.75,-1.6362471807122905
0.76,0.5564486161201732
0.77,1.1611514007374228
0.78,-0.9061041377410008
0.79,0.19639536437828756
0.8,0.7445926933142251
0.81,1.4719686726379435
0.8200000000000001,-0.9009111255426556
0.8300000000000001,-1.629430412365658
0.84,0.4829121036176896
0.85,0.959637233107516
0.86,-0.5694029372981297
0.87,0.378620822831536
0.88,0.3582274110975135
0.89,1.2471832597650405
0.9,-1.1978380668466393
0.91,-1.2805053167862288
0.92,0.7593350279954801
0.93,0.0672248219684942
0.9400000000000001,-0.14237375510284495
0.9500000000000001,0.5851894982789235
0.96,-0.3873548607243028
0.97,0.36141693916868306
0.98,-1.552531927481639
0.99,-0.5314997278337557
1.0,1.0464022400594615
1.01,-0.33978697195940727
1.02,0.3688891322846308
1.03,0.4187789567776116
1.04,1.2715429573739918
1.05,-0.9001759154242672
1.06,-1.341940182998051
1.07,0.5160011790168345
1.08,0.08086446466673178
1.09,0.10637286950379932
1.1,0.5886906959408629
1.11,0.17633125700792054
1.12,-0.07786415758223472
1.1300000000000001,-1.5693324184260278
1.1400000000000001,-0.16846189582038615
1.1500000000000001,0.7766406955433572
1.16,0.002122329467910063
1.17,0.5852022788868024
1.18,-0.28948535250383967
1.19,0.38735442541007714
1.2,-1.3028946980637504
1.21,-0.5491876415182574
1.22,0.7512813809001477
1.23,-0.032231852139785015
1.24,0.6751615659830058
1.25,-0.13110534267069415
1.26,0.135228268195008
1.27,-0.5776616821359926
1.28,-0.32826899114395613
1.29,0.21032926886066158
1.3,-0.17792144853158395
1.31,0.9479839951351622
1.32,-0.32484240065953973
1.33,-0.4266750438540781
1.34,0.30113411752433794
1.35,0.3209654317321335
1.36,-0.39934222483002857
1.37,-0.37988798794468126
1.3800000000000001,1.0247660202356588
1.3900000000000001,-1.181522255110706
1.4000000000000001,-0.10397808930208191
1.41,0.715376999487482
1.42,0.2863410823722496
1.43,-1.136300801313441
1.44,0.08258323680040323
1.45,0.9394308721056865
1.46,0.10733645504724448
1.47,0.8093730287144574
1.48,-1.171656858052433
1.49,-1.668030672954048
1.5,-1.266560382734631
1.51,2.4312735689682046
1.52,1.113141116155802
1.53,2.4950043714323287
1.54,-2.3939427254793313
1.55,-3.551362090947302
1.56,0.2717841693079444
1.57,3.529022755502473
1.58,1.070948961949142
1.59,-0.28162845507287315
1.6,0.05780136096803795
1.61,-3.1749934266920325
1.62,-0.8878529676775064
1.6300000000000001,0.6138428540461672
1.6400000000000001,1.2504986319662719
1.6500000000000001,0.240201207349466
1.6600000000000001,2.8492792211848195
1.67,-2.4506613758205003
1.68,-2.9578268713078013
1.69,1.3374375419855102
1.7,0.19319430301132984
1.71,1.6878072785906926
1.72,1.196927268972592
1.73,-1.4132403088724301
1.74,-3.5695262108258596
1.75,0.7094580609159455
1.76,0.43868319704049674
1.77,1.2915238280210053
1.78,0.7449502767744636
1.79,-0.2890100542330316
1.8,-2.2408792414998078
1.81,0.045561080082182424
1.82,1.1444911852595827
1.83,0.07061690904685142
1.84,0.5834644205431472
1.85,1.5217387726920657
1.86,-1.2026639340729917
1.87,-1.4780743570907406
1.8800000000000001,0.4431383389592987
1.8900000000000001,0.7659827864956453
1.9000000000000001,1.297160159280239
1.9100000000000001,1.0200217738238784
1.92,-1.437927490903834
1.93,-1.3763898320828853
1.94,0.7607340536098356
1.95,0.6476168247072668
1.96,0.9261913744208887
1.97,1.247409109418535
1.98,-0.920323698533105
1.99,-1.4359324712153108
2.0,0.3610303974207897
2.0100000000000002,0.5693372173665898
2.02,1.2334004042274427
2.0300000000000002,1.4176884563040797
2.04,-1.1617326054387989
2.05,-1.5972192541313937
2.06,0.48608091651049357
2.07,0.8165212830226494
2.08,1.1904102909133265
2.09,1.0305012601409267
2.1,-1.3666660039926564
2.11,-1.3863101517931016
2.12,0.49464466644797395
2.13,0.968727136431138
2.14,1.059052730784103
2.15,0.9926712461863375
2.16,-1.6400840135861978
2.17,-1.159817077207214
2.18,0.1523088960285729
2.19,1.2854502829497543
2.2,0.7924253640160752
2.21,0.41079797401359375
2.22,-1.963287333216165
2.23,-0.6640635466146503
2.24,0.11075659816017171
2.25,1.5270149153878179
2.2600000000000002,0.010075871192898319
2.27,-0.5056949239787948
2.2800000000000002,-2.0133277628364965
2.29,0.028173095076414974
2.3000000000000003,0.6878734310927789
2.31,1.523379938389943
2.32,1.3948006737287058
