,seconds_elapsed,speed,latitude,longitude
0,0.0,15.0,15.0,0.0
1,1.0,15.0,30.0,0.0
2,2.0,15.0,45.0,0.0
3,3.0,15.0,60.0,0.0
4,4.0,15.0,75.0,0.0
5,5.0,15.0,90.0,0.0
6,6.0,15.0,105.0,0.0
