time,seconds_elapsed,z,y,x
1751064261009568000,0.168568115234375,-0.0002663159102667123,0.021172115579247475,-0.01225053146481514
1751064261019518000,0.17851806640625,0.0007989477599039674,0.0009321057004854083,-0.02396843209862709
1751064261029467600,0.188467529296875,0.0018642114009708166,0.0009321057004854083,-0.027164222672581673
1751064261039417300,0.198417236328125,0.003994738683104515,0.01584579609334469,-0.01225053146481514
1751064261049367000,0.208366943359375,0.0050600022077560425,0.008388951420783997,-0.011185267940163612
1751064261059316700,0.218316650390625,0.0007989477599039674,0.025433169677853584,-0.03675159439444542
1751064261069266400,0.228266357421875,-0.0002663159102667123,0.02756369672715664,-0.04740423336625099
1751064261079216400,0.23821630859375,0.0007989477599039674,0.037151068449020386,-0.02396843209862709
1751064261089166000,0.248166015625,-0.0002663159102667123,0.06058686971664429,0.002663159044459462
1751064261099116500,0.258116455078125,-0.0023968431632965803,0.06697845458984375,-0.0015978955198079348
1751064261109065700,0.268065673828125,-0.0023968431632965803,0.02649843320250511,-0.01225053146481514
1751064261119015000,0.278014892578125,-0.0002663159102667123,0.0009321057004854083,-0.029294749721884727
1751064261128963800,0.2879638671875,-0.0002663159102667123,-0.02569948509335518,-0.0282294861972332
1751064261138913000,0.2979130859375,0.0007989477599039674,-0.031025802716612816,-0.01438105944544077
1751064261148862200,0.3078623046875,-0.0002663159102667123,0.029694223776459694,-0.0516652874648571
1751064261158811600,0.317811767578125,0.0007989477599039674,0.009454214945435524,-0.05699160322546959
1751064261168761000,0.327760986328125,0.003994738683104515,-0.012916321866214275,-0.04101264849305153
1751064261178710500,0.33771044921875,0.0050600022077560425,0.0019973693415522575,-0.03142527863383293
1751064261188660200,0.34766015625,-0.0002663159102667123,0.022237379103899002,-0.006924213841557503
1751064261198610000,0.35760986328125,-0.013049479573965073,-0.13648690283298492,-0.05699160322546959
1751064261208559900,0.367559814453125,-0.020506324246525764,-0.24407853186130524,-0.13475584983825684
1751064261218509800,0.377509765625,-0.010918952524662018,-0.07683213800191879,-0.06870950758457184
1751064261228459800,0.387459716796875,-0.0002663159102667123,0.012650005519390106,-0.046338967978954315
1751064261238410000,0.397409912109375,-0.0023968431632965803,-0.04061317816376686,-0.0708400309085846
1751064261248360200,0.407360107421875,-0.01837579719722271,-0.2131858915090561,-0.1315600574016571
1751064261258310400,0.417310302734375,-0.015180006623268127,-0.18655429780483246,-0.11877689510583878
1751064261268260600,0.427260498046875,-0.016245270147919655,-0.13968269526958466,-0.059122130274772644
1751064261278211000,0.437211181640625,-0.008788425475358963,-0.1322258561849594,-0.029294749721884727
1751064261288161300,0.447161376953125,-0.0002663159102667123,-0.13009531795978546,-0.042077913880348206
1751064261298111000,0.457111083984375,-0.0034621069207787514,-0.13116058707237244,-0.03675159439444542
1751064261308061000,0.46706103515625,-0.005592633970081806,-0.15992270410060883,-0.027164222672581673
1751064261318010600,0.4770107421875,-0.006657897960394621,-0.13435637950897217,-0.018642114475369453
1751064261327960300,0.486960205078125,-0.015180006623268127,-0.13116058707237244,-0.05273054912686348
1751064261337910000,0.496909912109375,-0.03755054250359535,-0.12050794810056686,-0.11345057934522629
1751064261347859700,0.506859619140625,-0.0822916179895401,-0.13116058707237244,-0.11345057934522629
1751064261357809400,0.516809326171875,-0.17390428483486176,-0.18122798204421997,-0.034621067345142365
1751064261367759400,0.52675927734375,-0.30067065358161926,-0.2451438009738922,0.06977476924657822
1751064261377709000,0.536708984375,-0.30493173003196716,-0.27710169553756714,0.10492847114801407
1751064261387658800,0.54665869140625,-0.1813611388206482,-0.21425114572048187,0.029294749721884727
1751064261397608400,0.5566083984375,-0.02157158963382244,-0.09387636184692383,-0.021837905049324036
1751064261407558100,0.56655810546875,0.0007989477599039674,-0.051265813410282135,0.021837905049324036
1751064261417507800,0.5765078125,-0.0034621069207787514,-0.07363634556531906,0.050600022077560425
1751064261427457800,0.586457763671875,-0.0034621069207787514,-0.0672447681427002,0.018642114475369453
1751064261437407500,0.596407470703125,-0.0023968431632965803,-0.05020054802298546,0.027164222672581673
1751064261447357200,0.606357177734375,-0.001331579522229731,-0.016112113371491432,0.03994738683104515
1751064261457307000,0.616306884765625,-0.0002663159102667123,-0.009720530360937119,0.03249054029583931
1751064261467256600,0.626256591796875,-0.0034621069207787514,-0.04593949392437935,0.025033695623278618
1751064261477206300,0.636206298828125,-0.0023968431632965803,-0.02889527566730976,0.06870950758457184
1751064261487156200,0.64615625,0.0007989477599039674,-0.042743705213069916,0.0942758321762085
1751064261497106000,0.65610595703125,0.0018642114009708166,-0.06937529146671295,0.053795814514160156
1751064261507055600,0.6660556640625,-0.0023968431632965803,-0.10346373170614243,0.050600022077560425
1751064261517005300,0.67600537109375,-0.0023968431632965803,-0.11198583990335464,0.05273054912686348
1751064261526955000,0.685955078125,0.003994738683104515,-0.009720530360937119,0.03249054029583931
1751064261536904700,0.69590478515625,0.002929474925622344,0.012650005519390106,0.03142527863383293
1751064261546854700,0.705854736328125,-0.001331579522229731,0.007323687430471182,0.026098959147930145
