time,seconds_elapsed,z,y,x
1751064260948468700,0.10746875,-100.375,27.4375,-60.3125
1751064260967468800,0.12646875,-100.3375015258789,27.5625,-60.0625
1751064260986468600,0.145468505859375,-100.30000305175781,27.5625,-59.95000076293945
1751064260995968800,0.15496875,-100.30000305175781,27.537500381469727,-59.91250228881836
1751064261014968600,0.173968505859375,-100.3125,27.475000381469727,-59.8125
1751064261024468700,0.18346875,-100.2750015258789,27.450000762939453,-59.6875
1751064261043468800,0.20246875,-100.0999984741211,27.325000762939453,-59.51250076293945
1751064261062468600,0.221468505859375,-100.05000305175781,27.3125,-59.42499923706055
1751064261071968800,0.23096875,-100.0250015258789,27.350000381469727,-59.4375
1751064261090968600,0.249968505859375,-99.88750457763672,27.412500381469727,-59.400001525878906
1751064261100468700,0.25946875,-99.92500305175781,27.42500114440918,-59.400001525878906
1751064261119468800,0.27846875,-99.92500305175781,27.4375,-59.36249923706055
1751064261138468600,0.297468505859375,-99.7750015258789,27.337499618530273,-59.23749923706055
1751064261147968800,0.30696875,-99.6500015258789,27.25,-59.150001525878906
1751064261166968600,0.325968505859375,-99.5625,27.125,-59.087501525878906
1751064261176468700,0.33546875,-99.4749984741211,27.087499618530273,-59.087501525878906
1751064261195468800,0.35446875,-99.51250457763672,27.200000762939453,-59.212501525878906
1751064261214468600,0.373468505859375,-99.55000305175781,27.337499618530273,-59.375
1751064261223968800,0.38296875,-99.5875015258789,27.399999618530273,-59.42499923706055
1751064261242968600,0.401968505859375,-99.51250457763672,27.5,-59.53750228881836
1751064261252468700,0.41146875,-99.45000457763672,27.55000114440918,-59.57500076293945
1751064261271468800,0.43046875,-99.3125,27.575000762939453,-59.61249923706055
1751064261290468600,0.449468505859375,-99.125,27.625,-59.67499923706055
1751064261299968800,0.45896875,-99.05000305175781,27.6875,-59.73749923706055
1751064261318968600,0.477968505859375,-98.9625015258789,27.80000114440918,-59.875
1751064261328468700,0.48746875,-98.9124984741211,27.86250114440918,-59.98749923706055
1751064261347468800,0.50646875,-98.7874984741211,27.9375,-60.212501525878906
1751064261366468600,0.525468505859375,-98.8499984741211,27.73750114440918,-59.95000076293945
1751064261375968800,0.53496875,-98.7874984741211,27.23750114440918,-59.04999923706055
1751064261394968600,0.553968505859375,-98.36250305175781,25.3125,-55.72500228881836
1751064261404468700,0.56346875,-97.92500305175781,24.037500381469727,-53.60000228881836
1751064261423468800,0.58246875,-96.5625,20.962499618530273,-48.6875
1751064261442468600,0.601468505859375,-94.7125015258789,17.537500381469727,-43.61249923706055
1751064261451968800,0.61096875,-93.6875,15.987500190734863,-41.625
1751064261470968600,0.629968505859375,-91.63750457763672,13.425000190734863,-38.82500076293945
1751064261480468700,0.63946875,-90.6624984741211,12.225000381469727,-37.67499923706055
