time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1751064261287000000,0.446,45,1.5,2.791593551635742,38.06999969482422,0,0,813.5,-68.7828041,-32.9597557
1751064266032000000,5.191,0,1.5,2.791593551635742,227.8699951171875,0,0,813.5,-68.7828041,-32.9597557
1751064270812036400,9.971036376953125,16.060712814331055,2.605379104614258,2.8868439197540283,23.7450008392334,4.093679428100586,290.3460998535156,813.5,-68.7828372,-32.9596348
1751064271814237200,10.9732373046875,45,0.6307138800621033,2.8968658447265625,21.177000045776367,3.614543914794922,292.63134765625,813.5,-68.7827589,-32.9596405
1751064273635085800,12.7940859375,5.87556266784668,1.3086252212524414,1.4030569791793823,15.244000434875488,6.090859413146973,289.8759765625,813.2000122070312,-68.7828579,-32.9595961
1751064274635827200,13.7948271484375,8.394147872924805,1.2879829406738281,1.4130644798278809,9.802000045776367,6.262223720550537,291.94677734375,813.2000122070312,-68.7830154,-32.9595788
1751064276634888200,15.79388818359375,9.636696815490723,1.248679280281067,1.43305504322052,7.50600004196167,6.733992099761963,294.9709167480469,813.2000122070312,-68.7832443,-32.9595327
1751064277634888200,16.79388818359375,9.639928817749023,1.2539936304092407,1.4430550336837769,5.484000205993652,6.494303226470947,298.90301513671875,813.2000122070312,-68.7832805,-32.9595248
1751064278634888200,17.79388818359375,9.56717586517334,1.3879841566085815,1.4530550241470337,5.611999988555908,6.8490729331970215,304.87152099609375,813.2000122070312,-68.7833082,-32.9594691
1751064280634888200,19.79388818359375,8.686980247497559,1.315484642982483,1.4730550050735474,5.986000061035156,6.773021221160889,300.02532958984375,813.2000122070312,-68.7834307,-32.9594014
1751064281634888200,20.79388818359375,8.17908000946045,1.2539936304092407,1.4830551147460938,5.939000129699707,6.535094261169434,298.0308532714844,813.2000122070312,-68.7835025,-32.9593754
1751064283634463000,22.793462890625,7.436997890472412,1.2539936304092407,1.5030508041381836,5.948999881744385,6.672492980957031,295.0296936035156,813.2000122070312,-68.7836335,-32.9593282
1751064284634837500,23.79383740234375,7.0753350257873535,1.2317466735839844,1.513054609298706,5.835000038146973,6.827037811279297,295.9888916015625,813.2000122070312,-68.7836996,-32.9593
